,居酒屋_クラスタ0,居酒屋_クラスタ1,居酒屋_クラスタ2,居酒屋_クラスタ3,焼肉_クラスタ0,焼肉_クラスタ1,焼肉_クラスタ2,焼肉_クラスタ3,ラーメン_クラスタ0,ラーメン_クラスタ1,ラーメン_クラスタ2,ラーメン_クラスタ3,バー_クラスタ0,バー_クラスタ1,バー_クラスタ2,バー_クラスタ3,中華料理_クラスタ0,中華料理_クラスタ1,中華料理_クラスタ2,中華料理_クラスタ3,イタリアン_クラスタ0,イタリアン_クラスタ1,イタリアン_クラスタ2,イタリアン_クラスタ3,焼き鳥_クラスタ0,焼き鳥_クラスタ1,焼き鳥_クラスタ2,焼き鳥_クラスタ3,カフェ_クラスタ0,カフェ_クラスタ1,カフェ_クラスタ2,カフェ_クラスタ3,寿司_クラスタ0,寿司_クラスタ1,寿司_クラスタ2,寿司_クラスタ3,ダイニングバー_クラスタ0,ダイニングバー_クラスタ1,ダイニングバー_クラスタ2,ダイニングバー_クラスタ3,餃子_クラスタ0,餃子_クラスタ1,餃子_クラスタ2,餃子_クラスタ3,その他_クラスタ0,その他_クラスタ1,その他_クラスタ2,その他_クラスタ3,お好み焼き_クラスタ0,お好み焼き_クラスタ1,お好み焼き_クラスタ2,お好み焼き_クラスタ3,そば_クラスタ0,そば_クラスタ1,そば_クラスタ2,そば_クラスタ3,海鮮_クラスタ0,海鮮_クラスタ1,海鮮_クラスタ2,海鮮_クラスタ3,韓国料理_クラスタ0,韓国料理_クラスタ1,韓国料理_クラスタ2,韓国料理_クラスタ3,とんかつ_クラスタ0,とんかつ_クラスタ1,とんかつ_クラスタ2,とんかつ_クラスタ3,ステーキ_クラスタ0,ステーキ_クラスタ1,ステーキ_クラスタ2,ステーキ_クラスタ3,タイ料理_クラスタ0,タイ料理_クラスタ1,タイ料理_クラスタ2,タイ料理_クラスタ3,日本料理_クラスタ0,日本料理_クラスタ1,日本料理_クラスタ2,日本料理_クラスタ3,もつ焼き_クラスタ0,もつ焼き_クラスタ1,もつ焼き_クラスタ2,もつ焼き_クラスタ3,ホルモン_クラスタ0,ホルモン_クラスタ1,ホルモン_クラスタ2,ホルモン_クラスタ3,串揚げ_クラスタ0,串揚げ_クラスタ1,串揚げ_クラスタ2,串揚げ_クラスタ3,ピザ_クラスタ0,ピザ_クラスタ1,ピザ_クラスタ2,ピザ_クラスタ3,もんじゃ焼き_クラスタ0,もんじゃ焼き_クラスタ1,もんじゃ焼き_クラスタ2,もんじゃ焼き_クラスタ3,バル_クラスタ0,バル_クラスタ1,バル_クラスタ2,バル_クラスタ3,焼鳥_クラスタ0,焼鳥_クラスタ1,焼鳥_クラスタ2,焼鳥_クラスタ3,ビストロ_クラスタ0,ビストロ_クラスタ1,ビストロ_クラスタ2,ビストロ_クラスタ3,鉄板焼き_クラスタ0,鉄板焼き_クラスタ1,鉄板焼き_クラスタ2,鉄板焼き_クラスタ3,洋食_クラスタ0,洋食_クラスタ1,洋食_クラスタ2,洋食_クラスタ3,食堂_クラスタ0,食堂_クラスタ1,食堂_クラスタ2,食堂_クラスタ3,うなぎ_クラスタ0,うなぎ_クラスタ1,うなぎ_クラスタ2,うなぎ_クラスタ3,牛タン_クラスタ0,牛タン_クラスタ1,牛タン_クラスタ2,牛タン_クラスタ3,天ぷら_クラスタ0,天ぷら_クラスタ1,天ぷら_クラスタ2,天ぷら_クラスタ3,ハンバーガー_クラスタ0,ハンバーガー_クラスタ1,ハンバーガー_クラスタ2,ハンバーガー_クラスタ3
データ数,372.0,1014.0,69.0,193.0,179.0,86.0,560.0,39.0,100.0,371.0,12.0,70.0,59.0,46.0,335.0,3.0,290.0,43.0,60.0,2.0,243.0,30.0,91.0,6.0,29.0,209.0,19.0,78.0,174.0,33.0,72.0,25.0,41.0,177.0,4.0,66.0,38.0,152.0,4.0,13.0,92.0,38.0,1.0,17.0,10.0,82.0,35.0,10.0,73.0,7.0,20.0,35.0,24.0,90.0,15.0,1.0,32.0,13.0,69.0,9.0,27.0,48.0,13.0,25.0,58.0,23.0,8.0,19.0,80.0,9.0,17.0,1.0,71.0,19.0,13.0,1.0,19.0,55.0,20.0,8.0,50.0,9.0,14.0,20.0,16.0,41.0,24.0,6.0,25.0,15.0,13.0,24.0,45.0,5.0,4.0,19.0,23.0,40.0,2.0,8.0,12.0,52.0,4.0,1.0,34.0,5.0,18.0,10.0,39.0,11.0,4.0,10.0,31.0,4.0,23.0,5.0,5.0,28.0,13.0,16.0,44.0,9.0,1.0,6.0,12.0,11.0,31.0,3.0,20.0,18.0,7.0,11.0,11.0,24.0,1.0,16.0,15.0,19.0,6.0,10.0
平均,128.68974014336905,90.14003944773167,157.12560386473413,122.62651122625202,159.41387337057708,174.33139534883708,124.34538690476175,164.35897435897425,109.56166666666655,90.69676549865221,145.10416666666643,182.54404761904746,59.00423728813551,93.82789855072456,70.5987562189054,341.5,83.92844827586197,119.15891472868208,96.13194444444436,70.5,75.21433470507536,104.14722222222211,105.95146520146506,101.6944444444443,108.4022988505746,91.852870813397,154.53070175438575,137.25961538461522,92.04693486590031,90.7272727272726,79.73148148148137,86.38666666666656,131.23373983739825,78.77966101694906,130.97916666666634,150.90656565656553,115.55921052631562,74.55263157894728,92.0416666666665,118.74358974358961,96.37590579710135,77.12061403508761,296.333333333333,94.44117647058808,123.38333333333325,102.28252032520318,119.90476190476184,210.9583333333332,91.94406392694049,159.4285714285711,159.79999999999978,118.42857142857133,62.29861111111101,68.70833333333324,67.67777777777769,246.416666666666,130.78124999999986,148.72435897435884,69.06038647342987,223.5925925925925,112.23456790123444,72.94270833333321,110.64102564102562,85.97333333333323,94.38218390804593,129.42391304347822,134.92708333333326,100.06578947368412,119.42812499999994,109.41666666666664,107.89215686274504,147.0,66.67253521126753,80.58771929824552,76.28846153846146,79.6666666666666,56.75877192982449,55.436363636363545,64.57499999999986,99.97916666666653,96.52166666666653,92.90740740740723,121.69642857142841,128.39999999999984,113.87499999999989,101.90853658536574,117.59722222222213,81.44444444444444,72.91999999999989,112.23888888888877,137.5833333333332,68.85069444444439,93.74444444444433,86.68333333333332,179.99999999999997,141.83771929824545,192.98188405797077,134.35416666666657,517.333333333333,207.58333333333297,171.1874999999999,84.84294871794859,304.8541666666665,71.3333333333333,80.27450980392149,239.13333333333327,109.17129629629615,189.37499999999977,53.358974358974265,55.18181818181813,195.1041666666664,68.97499999999988,73.05645161290313,155.52083333333326,87.05434782608681,43.0833333333333,317.19999999999953,79.44345238095225,116.36538461538446,152.00520833333312,77.8825757575757,140.24074074074068,24.5,113.80555555555554,129.0416666666665,170.27272727272705,80.73387096774184,75.77777777777777,121.2166666666665,152.48148148148118,136.72619047619045,187.47727272727263,91.77272727272717,103.14236111111104,27.0,90.6874999999998,148.53888888888872,112.3596491228069,144.98611111111111,158.6999999999999
標準偏差,124.98204501784055,105.00510939353386,137.99179180085085,128.1190906195006,129.44670166541036,128.18282553020077,115.73291933421467,131.64589991939366,85.0965102233255,83.58340559411847,65.96918400765884,166.92929894328964,63.31302310402704,102.42083423123229,84.3193845963539,186.1712920941357,81.92777932233223,137.9574519058693,109.0781094764885,33.23401871576773,89.00483458744766,94.82540338977302,87.70341792853816,117.39823804596149,96.54170923238652,96.44864746046896,159.24857600223427,131.7367511572903,102.40896548079215,93.66962821702471,89.01674160536989,72.98037645300415,147.8554300701178,87.54055755941762,97.66255146335936,149.39643206413564,107.78737847920745,77.98087872702652,69.193017069001,136.95832894541803,87.514910202305,77.58242177633943,,65.19098387879221,105.17360134441087,113.62092214881962,125.04141330781891,118.364929597588,84.02505970672111,124.33063771068234,169.84792475582262,131.48414866137412,53.467245360963936,98.84240035368366,46.204759798556715,,141.93975852199804,147.5245718100861,71.87658478511142,176.5922083877756,105.71935119156721,61.70090614588082,132.46793543110317,72.68491233730325,98.4180005634789,123.18104570452701,51.767689973557985,76.61331466367758,118.66011347031763,122.07999142183603,104.5467265145987,,58.29241306908971,85.60728718154473,67.96008849992299,,25.319667591154737,56.798478151063414,55.02636197038547,80.82827365117078,94.40344503074793,63.262946693801,129.05223056096105,127.5042786806439,140.3601485333222,98.15167508065358,117.5279175043727,40.743086211946135,58.518572352588805,109.85390671298761,145.36551949915517,40.42676161965402,101.78866779467205,92.09029762503033,178.80662791178963,97.34288731682491,145.93239266909637,128.77883013312328,34.53038114794354,166.35222719297585,169.3303400065008,87.46253267832519,261.30405142604803,,80.464025489038,218.97585641902262,84.47621427336402,107.09817414092997,48.87629148263813,32.222357192333085,116.62716345101441,38.42033303786855,92.23254975748539,146.3889475279242,88.0384931045274,20.619485794860264,187.26578519728446,79.38775837508368,103.24810294677683,117.12672572249332,78.47074645056163,122.16013969351148,,193.1264530090372,140.5148069950225,158.17796364164673,93.41337693522289,71.48763166787303,138.89543744795796,127.50882820761349,184.07213960663648,153.09470603241485,97.26189652248979,126.92514264418044,,73.2208828489875,114.79966533651408,92.12419092158395,109.3383181875141,147.84306828358964
min,20.0833333333333,20.1666666666666,20.3333333333333,20.0833333333333,21.6666666666666,21.8333333333333,20.1666666666666,22.4166666666666,20.5833333333333,20.4166666666666,66.9166666666666,22.6666666666666,20.1666666666666,20.5,20.1666666666666,128.0,20.0833333333333,24.0,21.0,47.0,20.1666666666666,22.0,21.5,27.0,21.8333333333333,20.0833333333333,22.5833333333333,20.3333333333333,20.1666666666666,20.9166666666666,20.1666666666666,22.0,20.3333333333333,20.0833333333333,32.0833333333333,21.0,21.5833333333333,20.0833333333333,52.5,20.3333333333333,20.0833333333333,20.0833333333333,296.333333333333,20.4166666666666,23.9166666666666,20.1666666666666,24.4166666666666,24.0,20.25,35.0,21.0,28.0833333333333,21.1666666666666,20.0833333333333,20.5,246.416666666666,27.0833333333333,25.5,20.25,22.3333333333333,23.25,21.0,32.5,22.9166666666666,20.3333333333333,23.8333333333333,52.25,23.6666666666666,20.1666666666666,26.8333333333333,26.25,147.0,20.0833333333333,20.5833333333333,24.3333333333333,79.6666666666666,21.3333333333333,20.6666666666666,20.6666666666666,30.0,21.4166666666666,25.5,20.4166666666666,22.4166666666666,21.3333333333333,20.5,28.6666666666666,25.5833333333333,22.75,57.0,28.3333333333333,21.25,21.3333333333333,31.5,67.0833333333333,26.8333333333333,32.75,20.75,492.916666666666,70.0,30.0833333333333,20.3333333333333,36.0,71.3333333333333,23.5833333333333,33.4166666666666,21.25,59.75,20.0833333333333,22.25,56.6666666666666,23.75,22.4166666666666,45.5,23.1666666666666,24.3333333333333,71.1666666666666,22.0833333333333,20.75,20.25,20.1666666666666,27.5,24.5,21.3333333333333,24.0,24.1666666666666,20.8333333333333,28.3333333333333,20.5833333333333,35.0,40.0833333333333,51.25,21.6666666666666,22.0,27.0,20.1666666666666,20.3333333333333,20.25,23.6666666666666,29.1666666666666
10%タイル,29.51666666666666,23.6666666666666,28.39999999999994,25.999999999999943,39.53333333333328,36.25,27.81666666666663,37.3166666666666,28.96666666666666,25.0,82.1083333333333,33.64166666666666,22.1166666666666,24.4583333333333,22.0833333333333,187.7,25.40833333333333,30.16666666666664,26.43333333333333,51.7,22.866666666666642,23.41666666666666,29.1666666666666,28.7083333333333,31.14999999999994,23.48333333333332,24.68333333333332,24.44999999999999,24.21666666666661,22.2666666666666,25.5,25.29999999999998,29.3333333333333,22.63333333333328,56.108333333333114,27.5833333333333,34.2,22.03333333333333,54.15,20.58333333333332,24.57499999999994,24.33333333333331,296.333333333333,28.54999999999998,29.39166666666666,22.03333333333333,28.7666666666666,46.95,23.36666666666664,41.39999999999996,24.54999999999997,30.8,23.233333333333302,22.07499999999997,22.849999999999962,246.416666666666,31.16666666666663,33.46666666666664,23.24999999999996,23.3333333333333,35.8333333333333,24.35,36.733333333333285,24.56666666666664,24.14166666666661,30.6666666666666,89.0,26.81666666666664,23.69999999999997,27.8333333333333,28.79999999999998,147.0,23.0,23.8,30.39999999999994,79.6666666666666,27.3,22.16666666666664,28.42499999999994,30.29166666666662,26.8666666666666,38.56666666666664,46.67499999999999,29.71666666666666,24.41666666666665,31.5833333333333,38.95,40.3333333333333,25.44999999999996,61.58333333333328,40.14999999999996,24.6833333333333,24.64999999999996,31.7,75.0583333333333,52.7166666666666,49.5,24.01666666666663,497.7999999999994,98.81666666666621,46.61666666666666,23.3833333333333,64.2499999999998,71.3333333333333,29.18333333333331,56.316666666666606,29.32499999999998,72.72499999999994,22.1666666666666,22.9166666666666,89.79166666666652,26.97499999999997,25.75,56.225,31.25,24.96666666666662,118.06666666666636,24.64166666666662,28.53333333333328,39.0,24.34999999999999,29.5,24.5,22.66666666666665,25.05,28.25,21.5,30.86666666666664,24.25833333333327,45.9916666666666,42.43333333333332,72.5,26.0,23.3,27.0,26.79166666666665,33.41666666666664,32.38333333333328,38.8333333333333,40.6416666666666
25%タイル,41.25,30.104166666666625,57.5,38.6666666666666,59.25,66.75,44.66666666666663,61.04166666666665,41.75,35.9583333333333,102.89583333333333,52.875,25.625,30.729166666666625,26.37499999999995,277.25,32.5,41.2083333333333,35.87499999999995,58.75,29.29166666666665,36.375,39.3333333333333,31.99999999999995,49.9166666666666,31.0,45.8333333333333,42.4791666666666,33.35416666666663,29.9166666666666,30.5208333333333,28.3333333333333,35.0833333333333,28.75,92.14583333333283,42.93749999999995,45.22916666666663,26.6666666666666,56.625,40.1666666666666,39.79166666666663,33.60416666666665,296.333333333333,38.4166666666666,37.49999999999997,35.625,35.66666666666665,141.3124999999995,32.75,86.2916666666663,42.45833333333327,42.625,34.49999999999995,26.16666666666665,31.0833333333333,246.416666666666,42.14583333333333,47.0833333333333,28.3333333333333,65.0,51.49999999999995,30.104166666666625,50.0,42.5,35.72916666666665,43.75,104.9375,33.7083333333333,38.0,45.0,34.0,147.0,28.3333333333333,30.0833333333333,37.0833333333333,79.6666666666666,38.0416666666666,26.4166666666666,32.0,37.60416666666665,34.64583333333333,41.9166666666666,50.29166666666665,49.04166666666663,25.812499999999975,45.1666666666666,44.83333333333327,56.56249999999997,32.0,64.62499999999994,60.75,43.37499999999997,33.1666666666666,32.0,87.02083333333327,72.25,72.9166666666666,38.0,505.1249999999995,111.29166666666626,63.54166666666663,30.625,106.6249999999995,71.3333333333333,40.8125,90.6666666666666,36.99999999999995,116.875,25.4583333333333,28.79166666666665,139.4791666666664,31.2291666666666,31.25,72.3125,42.0833333333333,25.9166666666666,188.416666666666,31.9166666666666,35.6666666666666,78.7291666666666,31.583333333333325,54.5,24.5,24.875,36.0,56.79166666666665,25.87499999999995,34.66666666666665,33.9375,94.74999999999994,52.75,83.79166666666666,29.04166666666665,32.10416666666665,27.0,33.64583333333327,84.29166666666666,40.375,56.5625,48.31249999999997
