料理カテゴリ,ランク,Top3変数
居酒屋,20~75,"NUM_SEATS, CITY_count, DINNER_PRICE"
居酒屋,75~150,"IS_FAMILY_FRIENDLY, AVG_MONTHLY_POPULATION, HOME_PAGE_URL"
居酒屋,150~300,"seats_rate_count, RATING_CNT, rate_count"
居酒屋,300~,"AVG_MONTHLY_POPULATION, IS_FRIEND_FRIENDLY, seats_rate_count"
焼肉,20~75,"HOME_PAGE_URL, DISTANCE_VALUE, DINNER_INFO"
焼肉,75~150,"DINNER_INFO, IS_FAMILY_FRIENDLY, DINNER_PRICE"
焼肉,150~300,"RATING_CNT, HOLIDAY, LUNCH_PRICE"
焼肉,300~,"DINNER_INFO, LUNCH_INFO, HOME_PAGE_URL"
ラーメン,20~75,"HOME_PAGE_URL, DINNER_INFO, RATING_CNT"
ラーメン,75~150,"RATING_SCORE, RATING_CNT, rate_count"
ラーメン,150~300,"NEAREST_STATION_INFO_count, DINNER_INFO, rate_count"
ラーメン,300~,"IS_FAMILY_FRIENDLY, LUNCH_INFO, NEAREST_STATION_INFO_count"
バー,20~75,"IS_FRIEND_FRIENDLY, AGE_RESTAURANT, HOLIDAY"
バー,75~150,"IS_FRIEND_FRIENDLY, CITY_count, LUNCH_PRICE"
バー,150~300,"LUNCH_INFO, PHONE_NUM, DISTANCE_VALUE"
バー,300~,"NEAREST_STATION_INFO_count, LUNCH_INFO, DISTANCE_VALUE"
中華料理,20~75,"HOME_PAGE_URL, DISTANCE_VALUE, IS_ALONE_FRIENDLY"
中華料理,75~150,"AGE_RESTAURANT, rate_count, CITY_count"
中華料理,150~300,"AVG_MONTHLY_POPULATION, IS_ALONE_FRIENDLY, LUNCH_INFO"
中華料理,300~,"LUNCH_PRICE, PHONE_NUM, IS_FRIEND_FRIENDLY"
イタリアン,20~75,"RATING_CNT, seats_rate_count, rate_count"
イタリアン,75~150,"DINNER_PRICE, DISTANCE_VALUE, CITY_count"
イタリアン,150~300,"seats_rate_count, RATING_CNT, rate_count"
イタリアン,300~,"NEAREST_STATION_INFO_count, LUNCH_PRICE, CITY_count"
焼き鳥,20~75,"HOME_PAGE_URL, HOLIDAY, RATING_SCORE"
焼き鳥,75~150,"RATING_SCORE, DINNER_PRICE, rate_count"
焼き鳥,150~300,"seats_rate_count, IS_FAMILY_FRIENDLY, RATING_CNT"
焼き鳥,300~,"DINNER_PRICE, HOLIDAY, NUM_SEATS"
カフェ,20~75,"LUNCH_INFO, IS_ALONE_FRIENDLY, HOME_PAGE_URL"
カフェ,75~150,"HOLIDAY, IS_FAMILY_FRIENDLY, NEAREST_STATION_INFO_count"
カフェ,150~300,"PHONE_NUM, DINNER_INFO, DISTANCE_VALUE"
カフェ,300~,"IS_FAMILY_FRIENDLY, DINNER_PRICE, IS_ALONE_FRIENDLY"
寿司,20~75,"HOME_PAGE_URL, DISTANCE_VALUE, IS_ALONE_FRIENDLY"
寿司,75~150,"NEAREST_STATION_INFO_count, LUNCH_INFO, CITY_count"
寿司,150~300,"LUNCH_PRICE, DISTANCE_VALUE, HOME_PAGE_URL"
寿司,300~,"LUNCH_PRICE, RATING_CNT, seats_rate_count"
ダイニングバー,20~75,"HOLIDAY, NUM_SEATS, DISTANCE_VALUE"
ダイニングバー,75~150,"IS_ALONE_FRIENDLY, DINNER_INFO, DISTANCE_VALUE"
ダイニングバー,150~300,"AVG_MONTHLY_POPULATION, AGE_RESTAURANT, LUNCH_PRICE"
ダイニングバー,300~,"HOME_PAGE_URL, DINNER_PRICE, CITY_count"
餃子,20~75,"LUNCH_PRICE, PHONE_NUM, HOME_PAGE_URL"
餃子,75~150,"AVG_MONTHLY_POPULATION, NUM_SEATS, DINNER_PRICE"
餃子,150~300,"HOME_PAGE_URL, IS_FAMILY_FRIENDLY, CITY_count"
お好み焼き,20~75,"CITY_count, IS_FAMILY_FRIENDLY, PHONE_NUM"
お好み焼き,75~150,"DINNER_INFO, RATING_SCORE, IS_ALONE_FRIENDLY"
お好み焼き,150~300,"CITY_count, seats_rate_count, NUM_SEATS"
お好み焼き,300~,"seats_rate_count, rate_count, RATING_CNT"
その他,20~75,"PHONE_NUM, HOLIDAY, IS_ALONE_FRIENDLY"
その他,75~150,"PHONE_NUM, AGE_RESTAURANT, DINNER_INFO"
その他,150~300,"AGE_RESTAURANT, seats_rate_count, RATING_CNT"
その他,300~,"AVG_MONTHLY_POPULATION, PHONE_NUM, LUNCH_PRICE"
そば,20~75,"HOME_PAGE_URL, seats_rate_count, NUM_SEATS"
そば,75~150,"AGE_RESTAURANT, NEAREST_STATION_INFO_count, LUNCH_INFO"
海鮮,20~75,"IS_FRIEND_FRIENDLY, seats_rate_count, RATING_CNT"
海鮮,75~150,"AVG_MONTHLY_POPULATION, LUNCH_PRICE, seats_rate_count"
海鮮,150~300,"DINNER_PRICE, RATING_SCORE, rate_count"
海鮮,300~,"NEAREST_STATION_INFO_count, seats_rate_count, NUM_SEATS"
ステーキ,20~75,"RATING_CNT, IS_FAMILY_FRIENDLY, HOLIDAY"
ステーキ,75~150,"RATING_SCORE, AGE_RESTAURANT, HOLIDAY"
ステーキ,150~300,"NEAREST_STATION_INFO_count, seats_rate_count, RATING_CNT"
ステーキ,300~,"HOME_PAGE_URL, DISTANCE_VALUE, AVG_MONTHLY_POPULATION"
韓国料理,20~75,"NUM_SEATS, PHONE_NUM, HOLIDAY"
韓国料理,75~150,"DINNER_PRICE, RATING_SCORE, RATING_CNT"
韓国料理,150~300,"seats_rate_count, RATING_SCORE, NEAREST_STATION_INFO_count"
とんかつ,20~75,"DISTANCE_VALUE, DINNER_PRICE, HOLIDAY"
とんかつ,75~150,"NUM_SEATS, IS_ALONE_FRIENDLY, RATING_SCORE"
とんかつ,150~300,"NEAREST_STATION_INFO_count, PHONE_NUM, AVG_MONTHLY_POPULATION"
タイ料理,20~75,"rate_count, RATING_CNT, LUNCH_INFO"
タイ料理,75~150,"HOME_PAGE_URL, NUM_SEATS, seats_rate_count"
タイ料理,150~300,"LUNCH_PRICE, AGE_RESTAURANT, IS_FRIEND_FRIENDLY"
日本料理,20~75,"AVG_MONTHLY_POPULATION, NEAREST_STATION_INFO_count, AGE_RESTAURANT"
日本料理,75~150,"NEAREST_STATION_INFO_count, RATING_CNT, rate_count"
もつ焼き,20~75,"NUM_SEATS, HOME_PAGE_URL, RATING_SCORE"
もつ焼き,75~150,"AGE_RESTAURANT, HOLIDAY, CITY_count"
もつ焼き,300~,"DINNER_PRICE, seats_rate_count, RATING_CNT"
ホルモン,20~75,"DINNER_PRICE, IS_ALONE_FRIENDLY, DINNER_INFO"
ホルモン,75~150,"rate_count, seats_rate_count, HOLIDAY"
ホルモン,150~300,"IS_FAMILY_FRIENDLY, DISTANCE_VALUE, NUM_SEATS"
もんじゃ焼き,20~75,"CITY_count, DISTANCE_VALUE, seats_rate_count"
もんじゃ焼き,75~150,"NEAREST_STATION_INFO_count, NUM_SEATS, AGE_RESTAURANT"
もんじゃ焼き,150~300,"DINNER_INFO, seats_rate_count, RATING_CNT"
もんじゃ焼き,300~,"IS_FAMILY_FRIENDLY, DISTANCE_VALUE, RATING_SCORE"
ピザ,20~75,"LUNCH_INFO, AVG_MONTHLY_POPULATION, LUNCH_PRICE"
ピザ,75~150,"AGE_RESTAURANT, DINNER_INFO, IS_FRIEND_FRIENDLY"
串揚げ,20~75,"LUNCH_PRICE, NUM_SEATS, IS_ALONE_FRIENDLY"
串揚げ,75~150,"DISTANCE_VALUE, LUNCH_INFO, AVG_MONTHLY_POPULATION"
バル,20~75,"DISTANCE_VALUE, NUM_SEATS, LUNCH_INFO"
焼鳥,20~75,"rate_count, RATING_CNT, DISTANCE_VALUE"
焼鳥,75~150,"RATING_SCORE, CITY_count, rate_count"
焼鳥,150~300,"DINNER_PRICE, LUNCH_PRICE, NEAREST_STATION_INFO_count"
洋食,20~75,"seats_rate_count, PHONE_NUM, RATING_SCORE"
洋食,75~150,"CITY_count, DINNER_INFO, LUNCH_INFO"
洋食,300~,"RATING_SCORE, DINNER_INFO, IS_FAMILY_FRIENDLY"
鉄板焼き,20~75,"IS_FRIEND_FRIENDLY, RATING_SCORE, HOME_PAGE_URL"
鉄板焼き,75~150,"HOLIDAY, IS_ALONE_FRIENDLY, NUM_SEATS"
ビストロ,20~75,"IS_FRIEND_FRIENDLY, LUNCH_INFO, seats_rate_count"
ビストロ,75~150,"NEAREST_STATION_INFO_count, DISTANCE_VALUE, NUM_SEATS"
食堂,20~75,"DISTANCE_VALUE, RATING_SCORE, LUNCH_INFO"
うなぎ,20~75,"LUNCH_PRICE, seats_rate_count, RATING_SCORE"
うなぎ,75~150,"IS_FAMILY_FRIENDLY, LUNCH_PRICE, LUNCH_INFO"
牛タン,20~75,"PHONE_NUM, HOME_PAGE_URL, NEAREST_STATION_INFO_count"
牛タン,75~150,"DISTANCE_VALUE, HOME_PAGE_URL, NUM_SEATS"
ハンバーガー,20~75,"DINNER_INFO, DINNER_PRICE, rate_count"
ハンバーガー,75~150,"NEAREST_STATION_INFO_count, IS_FRIEND_FRIENDLY, IS_ALONE_FRIENDLY"
ハンバーガー,150~300,"IS_FRIEND_FRIENDLY, DINNER_PRICE, IS_FAMILY_FRIENDLY"
天ぷら,20~75,"seats_rate_count, RATING_CNT, RATING_SCORE"
うどん,20~75,"seats_rate_count, NUM_SEATS, AGE_RESTAURANT"
インド料理,20~75,"DINNER_INFO, PHONE_NUM, LUNCH_INFO"
パスタ,20~75,"HOLIDAY, NEAREST_STATION_INFO_count, rate_count"
スペイン料理,20~75,"HOLIDAY, CITY_count, IS_ALONE_FRIENDLY"
カレー,20~75,"AGE_RESTAURANT, DISTANCE_VALUE, PHONE_NUM"
鳥料理,20~75,"seats_rate_count, RATING_CNT, AVG_MONTHLY_POPULATION"
ビアバー,20~75,"NUM_SEATS, seats_rate_count, IS_FRIEND_FRIENDLY"
ジンギスカン,20~75,"NUM_SEATS, NEAREST_STATION_INFO_count, seats_rate_count"
回転寿司,20~75,"AGE_RESTAURANT, NEAREST_STATION_INFO_count, DINNER_INFO"
回転寿司,75~150,"DISTANCE_VALUE, AVG_MONTHLY_POPULATION, RATING_CNT"
しゃぶしゃぶ,20~75,"HOME_PAGE_URL, PHONE_NUM, IS_FAMILY_FRIENDLY"
つけ麺,20~75,"rate_count, RATING_CNT, seats_rate_count"
ふぐ,20~75,"rate_count, RATING_CNT, seats_rate_count"
もつ鍋,20~75,"AVG_MONTHLY_POPULATION, DISTANCE_VALUE, seats_rate_count"
沖縄料理,20~75,"CITY_count, AGE_RESTAURANT, IS_FRIEND_FRIENDLY"
立ち飲み,20~75,"AGE_RESTAURANT, IS_FRIEND_FRIENDLY, PHONE_NUM"
ハンバーグ,20~75,"IS_ALONE_FRIENDLY, seats_rate_count, rate_count"
四川料理,20~75,"IS_FRIEND_FRIENDLY, LUNCH_INFO, AGE_RESTAURANT"
